id,product,quantity,price,date,store,salesperson,revenue
78,Compatible 5thgeneration secured line,46,31.32,2023-01-04,Smith Inc,Jill Mullins,1440.72
79,Configurable logistical capability,77,37.36,2022-10-18,"Maldonado, Gregory and Carpenter",Stephanie Walker,2876.72
80,Advanced interactive approach,49,10.08,2022-10-16,Young-Love,Anna Jones,493.92
81,Right-sized local instruction set,18,28.34,2023-02-06,"Kerr, Smith and Davis",Glenn Johnson,510.12
82,Re-engineered scalable leverage,24,18.43,2023-04-17,Richardson-Hunter,Sandra Schultz,442.32
83,Universal optimal instruction set,16,7.96,2022-11-14,"Key, Nelson and Miller",James Garcia,127.36
84,Total heuristic implementation,86,41.97,2022-09-21,Harrison-Estrada,Louis Jones,3609.42
85,Switchable transitional initiative,82,42.65,2022-09-26,Chambers-Page,Yolanda Parrish,3497.2999999999997
86,Fully-configurable radical initiative,2,29.72,2023-05-11,Drake-Brown,Ashley Gonzalez,59.44
87,Cross-group 24/7 throughput,11,42.0,2022-07-16,Murphy Group,Paula Huff,462.0
88,Face-to-face clear-thinking matrix,22,12.72,2023-01-24,Miller-Horton,Cory Thornton,279.84000000000003
89,Optimized human-resource encryption,36,31.32,2023-05-13,Roach and Sons,Christopher Palmer,1127.52
90,Operative 6thgeneration encryption,33,30.91,2023-07-02,Conrad Ltd,Emily Holmes,1020.03
91,Realigned intangible service-desk,33,25.75,2023-02-19,Martin-Espinoza,Margaret Snow,849.75
92,Visionary client-server product,13,14.47,2023-06-08,Freeman Group,Michael Moore,188.11
93,Cross-platform tangible service-desk,79,20.52,2022-11-04,Mejia-Holt,Jennifer Bridges,1621.08
94,Extended systemic flexibility,78,45.13,2022-08-04,Lang-Adams,Joseph Mcgee,3520.1400000000003
95,Optional executive system engine,17,27.11,2023-03-15,Guerra-Hester,Kirsten Duffy,460.87
96,Profit-focused non-volatile knowledge user,42,36.02,2023-05-16,Smith PLC,Jerry Palmer,1512.8400000000001
97,Synergized national utilization,87,22.02,2023-01-31,Brown-Davis,Sarah Townsend,1915.74
98,De-engineered asymmetric firmware,89,13.5,2022-11-01,Chapman Ltd,Megan Henry,1201.5
99,Upgradable national array,50,12.74,2022-12-29,"Golden, Khan and Jackson",Nancy Werner,637.0
100,Total hybrid secured line,81,42.18,2022-11-12,Williams-Brown,Ryan Hernandez,3416.58
